Country Name,ccode,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,afg,203.6508332063,224.9148690679,257.1756944542,280.2456441069,380.4009551866,384.1316812768,458.9557815858,569.9407287933,622.3796543585,690.842629015,653.347488111,633.9478642946
Albania,alb,1890.6815574354,2416.5882350701,2709.142930562,3005.0129033756,3603.0136853664,4370.5396465315,4114.1365449095,4094.3588319192,4437.8119990258,4247.8398520191,4412.3455781342,4568.5688265083
Algeria,dza,2094.8933075406,2600.0065152971,3102.0373628926,3467.5447388646,3939.5599200749,4912.2519334554,3875.8220953725,4473.4864405386,5447.4039913619,5583.616151757,5492.115803758,5496.0002093743
American Samoa,asm,8914.5254326167,8639.6004184807,8508.5508398599,8457.2363933979,8980.3813208069,9871.8240956673,12058.4782840679,10353.0088431951,10376.7445223805,11660.9629347964,11554.7358142563,11509.1820904138
Andorra,and,31744.2168037792,37233.8319037435,39991.3250691924,42419.4018912335,47255.9552101728,46734.2682819437,42704.0194268188,39641.746008498,41627.4629979063,39666.043036198,42804.2026352761,42804.2026352761
Angola,ago,850.0756941297,1135.6045635509,1576.1628006669,2253.8388500387,3151.0224310529,4242.3630623409,3678.9476544718,3886.4793543252,4744.9876294959,5086.8484258086,5327.1488921923,5232.7623002954
Antigua and Barbuda,atg,10382.6309004545,10993.3692472668,12079.8656950416,13599.908857304,15276.0682646698,15786.1728395062,13979.2626925883,13017.3103875487,12817.8415733094,13525.616220134,13342.0849977054,13432.0792079208
Arab World,arb,2740.9372996712,3145.0086111588,3778.7718468564,4374.4892095366,4979.8461117282,6166.0899500232,5202.1746467936,5956.4355310104,6915.4819185645,7410.8414368118,7516.3132247982,7518.4303015359
Argentina,arg,3330.4286600685,4251.5653466058,5076.8834404197,5878.7818328007,7193.6754117607,8953.4765636173,8161.4601962917,10276.5132733671,12727.2942400407,12970.1739015416,12977.1309231495,12245.6806734551
Armenia,arm,924.4640098178,1181.9684454224,1625.4077691268,2126.6186610718,3080.9709594357,3919.9754738106,2915.5839059087,3124.784017862,3417.1718359992,3565.5175749254,3716.8289225446,3861.9155704446
Australia,aus,23440.0053221856,30440.8548786229,33982.9504271591,36084.8589777475,40957.8304392487,49628.1151270179,42715.1322619629,51845.6548605562,62216.5471294133,67646.1038529626,67652.6832146189,62004.7931943463
Austria,aut,32102.9305523558,36693.4026205182,38242.0425174699,40430.993614499,46586.6502529235,51386.3766511975,47654.1872090808,46659.8408181344,51123.5613291663,48333.572726737,50504.7153221994,51322.6399728758
Azerbaijan,aze,883.614008968,1045.0264152764,1578.3673303067,2473.0857763684,3851.4378687117,5574.6038021861,4950.2947914238,5842.8057835858,7189.6912292077,7393.7718769762,7811.6214184582,7886.4591436727
"Bahamas, The",bhs,22008.4337005989,21995.5199216219,23405.8795479327,23721.1562800587,24306.1424243044,23657.365306222,22043.0125711709,21920.5165867583,21514.8986531628,22554.5157201628,22554.4541222366,22497.4497068298
Bahrain,bhr,14541.6160485141,16275.1804236433,18418.0726743768,19669.3195545631,21167.6187062133,23043.0253174017,19166.7082382358,20386.0175551116,22033.9106201625,23057.7675759542,24113.5248437757,24514.9991306142
Bangladesh,bgd,434.0465632334,462.2748798448,485.8528880735,495.8537802011,543.0822631224,618.0758835593,683.6144222723,760.3319352002,838.5478017022,858.9333625876,954.3963997156,1086.8000867694
Barbados,brb,12028.3719341589,12868.8630941907,14223.6581251896,15645.9990270578,16462.2471099718,16570.5593507827,16523.3829717259,15906.1893174632,15534.1733043761,15385.1163692956,15473.0980649523,15360.0618007811
Belarus,blr,1819.525644123,2378.3392066022,3126.0717666525,3848.2159664874,4735.4848267369,6376.1831529846,5176.1726492702,5818.4974109555,6305.6591714623,6721.4833508653,7722.1257979293,8032.4948911285
Belgium,bel,30743.9569254283,35589.7129457001,36967.2829204297,38852.3610339939,44403.8313061102,48424.5892730273,44880.5601517887,44382.8797683492,47699.8070518961,44740.5717021938,46508.1305921633,47346.7573844974
Belize,blz,3679.8821355917,3831.5934839362,3933.3044301991,4187.3204258777,4324.9343891701,4473.4179085974,4263.8071121865,4348.0195387497,4522.8618618786,4674.2934466753,4723.5943547037,4884.3685622029
Benin,ben,509.4610886978,570.6855013338,587.0802124228,609.0186086816,685.5516751077,794.8701760641,768.0134764477,732.9536227267,799.0355591314,811.216240825,887.0899667264,915.9266407788
Bermuda,bmu,66111.7252270036,70359.3191088798,75882.0338560339,83912.6977976846,90849.5869806436,93605.7481653976,88463.3128161375,88207.3275597322,85973.158416455,85458.455507886,85748.0654143782,85748.0654143782
Bhutan,btn,1009.0062318469,1107.9205956407,1257.5486400866,1346.0857748005,1755.1617090429,1810.576177044,1786.8106720059,2201.2930777894,2485.7870521685,2452.1515879374,2383.0447299026,2560.5221317413
Bolivia,bol,917.3643104862,978.3347575767,1046.4278428307,1233.59297373,1389.6292950138,1736.9274104667,1776.8609118836,1981.1663127467,2377.7069403782,2645.2919987171,2948.0324723422,3124.0854344676
Bosnia and Herzegovina,bih,2192.6470782437,2619.7532575373,2928.2635903528,3351.9633998615,4107.9962319722,4974.6622666614,4586.2063131595,4475.0881300457,4860.7818113424,4494.6406403805,4748.0406922642,4852.3186487361
Botswana,bwa,4149.0413774883,4879.4594615473,5327.8535176786,5342.1403362253,5666.6378477926,5561.8982428225,5115.1214638707,6243.998830792,7504.8484763084,6885.8435975993,6806.6589392903,7153.4478594683
Brazil,bra,3040.5064955882,3596.2245797606,4730.6534683816,5808.3405471598,7246.8701047907,8706.8191419037,8474.878523078,11121.4180921177,13047.2426707089,12179.6906214678,12106.2100365736,11917.7904278216
Brunei Darussalam,brn,18758.9808946915,22131.9460641106,26337.9181126619,31157.6884478525,32707.7043073602,37798.3935034007,27726.481053695,34852.0239843014,46377.8811438445,46973.9379317158,43970.5319412044,41023.8898817215
Bulgaria,bgr,2710.4680235732,3381.5078365613,3893.6899804991,4513.1362795438,5932.8996765932,7296.1224785859,6955.9877325342,6843.2632888532,7813.8034994617,7378.0255394416,7674.8605591403,7853.3351908622
Burkina Faso,bfa,323.962564276,371.4970214587,406.6735559627,422.4223375107,474.0885400128,567.7341866564,537.2634287055,575.0118817524,667.1734194571,673.0625111939,698.3350349284,696.8562067594
Burundi,bdi,106.0169747292,119.4601350128,140.8151355984,154.9245257131,159.2654713115,182.6878012523,190.3942036666,214.2309908401,240.6144834591,244.1964862315,259.3652081502,286.002335873
Cabo Verde,cpv,1759.2561305003,1970.8913734124,2049.6159792775,2316.4794903215,3145.6539406493,3698.3134118857,3517.385581575,3393.9272124327,3766.1114732709,3497.6896970108,3648.9363212954,3661.168758409
Cambodia,khm,361.0703476005,407.0849061622,472.4488558628,537.8485827121,629.2828776345,742.9429233362,735.4075239165,782.692789877,879.1512440923,946.4766787104,1024.60886982,1094.576687779
Cameroon,cmr,791.1064753902,892.8987776606,915.0912876797,965.3686882781,1070.9546746196,1191.7095543673,1164.7172543709,1147.2423467852,1258.9246506685,1222.1921422044,1331.2000214439,1407.4034132223
Canada,can,28172.1488309084,31979.8719510723,36189.5883840265,40386.6994835116,44544.5268004039,46596.3359912609,40773.4543637445,47445.7619347846,52083.8262233942,52496.6948704709,52413.7211560786,50440.4337553383
Caribbean small states,css,5683.7193092578,6204.5088994955,6985.0969776749,7796.7567663306,8612.6983676048,9756.6201084267,8152.4818686611,8799.5897469104,9458.5400541182,9703.5040412085,9770.9434767225,9705.4197169117
Central African Republic,caf,290.5096582522,318.4837946257,332.9466400768,353.8944517064,404.1131818544,463.8276186307,454.3693169169,446.8002045528,488.3573421929,472.8182180573,322.3665933037,354.4519010729
Central Europe and the Baltics,ceb,5941.1716165503,7161.4481171128,8342.4363504098,9461.0987126581,11951.6871890755,14489.1505154171,12197.8737641886,12557.3826694129,13885.1663687175,12996.0882153681,13704.5106357764,14126.2043740139
Chad,tcd,292.5815827791,454.6552833847,660.181556792,712.0468098181,801.4015712384,929.2795527019,803.9143366053,895.8780348726,988.4431893129,972.6794135123,985.0953220007,1024.6683540219
Chile,chl,4948.7481798181,6323.7576399565,7728.6118974176,9500.8351620276,10513.540709255,10791.0201852467,10217.3140258368,12785.0518749447,14582.1705198618,15253.3308268909,15764.755453406,14566.1490549222
China,chn,1288.6429243993,1508.6684623081,1753.4178000747,2099.2296755172,2695.3662227179,3471.2475472623,3838.4342921563,4560.5124871009,5633.7961063607,6337.8829926902,7077.7705938533,7683.5020379578
Colombia,col,2246.2576855877,2740.2498268567,3386.0254435678,3709.0769144106,4674.2117101772,5433.706412432,5148.4113436394,6250.6544997915,7227.7708295564,7885.0612923021,8030.690860538,7918.0789003935
Comoros,com,538.6976579663,609.6406980487,614.861327262,640.7429838089,712.1200098454,786.1795768779,768.7337459608,759.2631308639,818.8613056935,778.1058843654,823.023002315,841.2055558264
"Congo, Dem. Rep.",cod,169.9085912872,189.5887134601,213.310458976,246.8028136251,273.4864797051,310.7310243982,286.0481803451,311.2478959884,350.2706542497,390.7066035047,413.6957983748,437.8149311778
"Congo, Rep.",cog,1049.3175951849,1362.1988328914,1737.6115464311,2144.8349428807,2259.2694131635,3094.1097195938,2428.260232581,2953.1850078768,3453.2212288565,3191.1642988109,3205.4577827894,3147.0715240876
Costa Rica,cri,4167.7151167733,4425.5064102518,4697.0089230806,5245.1922414419,6120.6290213679,6911.1392563638,6809.3992643948,8199.4272574462,9186.5704334421,9985.3137968199,10547.2101640013,10544.7200314114
Cote d'Ivoire,civ,875.0860950688,929.8933839756,942.2163849301,962.9184427388,1078.541501987,1257.6755819286,1233.3048561242,1236.0851980687,1231.8678340517,1281.3828651673,1445.9105824702,1544.321337188
Croatia,hrv,7805.8814183311,9365.7424680119,10224.2405855179,11363.4184456056,13546.6987224454,15893.8605622792,14157.144161951,13509.1858157682,14542.1775991872,13235.9775701749,13574.9780420161,13480.6507536281
Cuba,cub,3201.2235220182,3398.6378048303,3786.8430120738,4677.7710974325,5193.5197340173,5385.7407270121,5495.0492332689,5688.6490457797,6092.6015382075,6448.3275529284,6789.6999825303,7088.0844733829
Cyprus,cyp,20293.4078913924,23932.4912772329,25324.4866558737,27169.9925579717,31386.6326506534,35390.7048833763,32105.8159000782,30818.4639574235,32233.8394246573,28951.1555598986,27907.9673626742,27340.8838161118
Czech Republic,cze,9741.0583837682,11667.6321201205,13317.7298342014,15159.1411456575,18333.9459002641,22649.3793400813,19698.4920909142,19763.9637984737,21717.478393542,19729.8705111763,19916.0193873722,19744.5586092159
Denmark,dnk,40458.7706402839,46511.6045710347,48799.8203703247,52026.9931124155,58487.0450116405,64322.0666441526,58163.2935943068,58041.153221452,61753.7927549315,58507.5002096272,61191.1926260428,62425.5392007494
Djibouti,dji,822.0970500664,867.6835900203,910.3645073735,974.5642374181,1060.8149402897,1234.0133556656,1279.2519479097,1358.4605000491,1472.0142049737,1586.7801332843,1682.9486648607,1812.4253858252
Dominica,dma,4997.1626683922,5329.135890245,5250.3525611745,5522.2856184803,5952.0566685762,6464.2172822785,6888.8560227246,6938.9521464641,7016.4478222936,6778.3440411884,7061.2755801423,7301.2358649135
Dominican Republic,dom,2372.6290911349,2421.0963279407,3681.0603014911,3836.4708182393,4647.3186715155,5011.0530174822,4952.6881513794,5451.0680613947,5759.0384543439,5968.8262179822,6026.9898886109,6268.6324827305
Early-demographic dividend,ear,1348.1171880282,1540.4788676743,1766.5204217211,1989.8561874408,2312.9518598985,2568.5942773304,2432.7691276817,2908.3160641615,3224.1463730712,3297.0003835893,3317.7223747641,3334.9968705968
East Asia & Pacific,eas,4099.8788663764,4563.0987304389,4830.2186924463,5083.890911162,5645.0288471536,6476.2474352856,6628.9895743817,7679.7453906241,8846.9704142408,9403.304326474,9447.8756856088,9663.6411824495
East Asia & Pacific (excluding high income),eap,1242.0917699198,1428.6103336812,1639.0000721411,1957.3299107695,2458.0013068796,3089.6823723821,3329.0613900563,4009.7139319809,4867.1073934684,5390.6581529179,5908.5824773085,6307.0527518291
East Asia & Pacific (IDA & IBRD countries),tea,1255.540688241,1444.0756198886,1656.7277874623,1978.4728123875,2484.5095472812,3122.9442950007,3364.8267461999,4052.7024544333,4919.1893315532,5448.230712645,5971.542755105,6374.097977422
Ecuador,ecu,2440.4691638575,2708.5582929825,3021.94276733,3350.7841423191,3590.7115134942,4274.9408206207,4255.5555631186,4657.301737458,5223.3775749014,5702.1682878938,6074.1819714721,6432.2958129188
"Egypt, Arab Rep.",egy,1147.7817131685,1071.3233388161,1196.7333085042,1409.1778752298,1681.31448106,2061.6127722526,2349.2868646568,2668.0359882616,2816.6669434778,3226.13137882,3264.4500626753,3365.7074205748
El Salvador,slv,2549.886636494,2666.3396954881,2874.2572562645,3108.592529337,3358.4212518546,3569.3353934472,3431.2800679181,3547.0709831532,3821.3385898552,3921.7203951166,3998.7394993862,4102.0638517964
Equatorial Guinea,gnq,4234.6020858073,7276.0756558754,13129.5981770095,15620.6404326044,19633.1601457759,28780.5764836217,21251.0626004464,22366.2939001749,28404.4275152161,28937.2988403147,27528.6579867104,26144.9405009551
Estonia,est,7174.2407922503,8850.4678499461,10338.3172625946,12595.414840361,16586.4079613909,18094.5473954875,14726.3139057181,14639.473302339,17453.7537611724,17421.887988526,19029.7792318907,19941.4526982953
Ethiopia,eth,119.0586587838,135.97636191,161.8769539083,194.0779936744,243.6288454844,325.7949006599,380.2648410333,341.8589561694,355.5889915132,469.7923038898,503.9026065869,573.5659603461
Euro area,emu,27157.1197177576,30979.0865446306,31983.6889724504,33795.8335051667,38710.4945255707,42225.3097514353,38480.220336036,37613.196868206,40611.3196916453,37593.1165076553,39100.2008484127,39730.0686685853
Europe & Central Asia,ecs,15524.9805661739,18042.5802000076,19151.5224345966,20663.0335183319,24055.797175076,26287.7391773009,23022.1051939962,23465.9752049159,25903.7520231027,24773.6781702047,25711.1373986674,25938.6349522978
Europe & Central Asia (excluding high income),eca,2534.253678495,3345.4775693932,4230.5855537126,5189.5189544628,6694.0765032156,8267.9793488861,6453.6495535804,7651.3942550098,9346.678098392,9682.7656020517,10126.6474000189,9470.0484579218
Europe & Central Asia (IDA & IBRD countries),tec,2865.6163721486,3699.5316922723,4623.8232113437,5589.1869303083,7162.2033302388,8844.4863341402,6971.5953234898,8136.2842989237,9786.7566630563,10012.1329741778,10469.1057082479,9918.2079707807
European Union,euu,24269.1945485537,27916.0418490623,29078.0913331993,30901.5230542579,35567.4557980335,38096.7387667371,33935.1147123843,33659.4872067091,36388.1420356953,34194.2893423984,35538.4000898096,36556.1836268606
Faroe Islands,fro,31098.0899974115,35008.1685188704,35808.8298627485,40617.3049771172,46878.115456099,49625.4786680383,46429.9206292594,47381.5227624969,50910.4340505074,48695.1711837983,54117.8444148388,54117.8444148388
Fiji,fji,2835.9809174782,3332.914460015,3658.6174768005,3750.0349907742,4079.2288415609,4178.3216907354,3369.8552048594,3651.9582906354,4351.9117805441,4543.8153581564,4758.8927821636,5042.3713956979
Finland,fin,32816.160880214,37636.1117341753,38969.171631813,41120.6765061581,48288.5490978186,53401.3148725198,47107.1557090705,46205.1660111855,50787.5649828531,47415.5598711351,49638.0771298139,49914.6186421589
Fragile and conflict affected situations,fcs,598.3077901505,663.3861985496,784.9710513322,896.9233706594,1082.885389211,1363.0952737406,1241.0613610671,1442.5856378329,1526.3571361386,1608.7543301663,1680.7199678896,1707.8452780819
France,fra,29691.1815836764,33874.7425478435,34879.7263291899,36544.5085344191,41600.5839748157,45413.065712185,41631.1314123702,40705.7662299421,43807.4759032413,40838.024436834,42571.1979897409,42843.0132164286
Gabon,gab,4929.322636637,5755.959504232,6865.3234973302,7206.9684081794,8632.7569511636,10523.2702492172,8003.7907434078,9312.0494626889,11530.1472010731,10642.4322523013,10658.7727292505,10772.0617537637
"Gambia, The",gmb,360.6773243963,414.9810527582,433.2915831079,440.3139384423,519.9547092523,608.6464388319,549.5395066685,562.5681661425,516.9842549884,504.9890138198,484.1126877099,440.3703891769
Georgia,geo,928.0108227168,1207.3672275029,1530.057520905,1872.6804160672,2492.1287799453,3174.9490006864,2706.5885115817,2964.4770480221,3725.0632212159,4142.8691753655,4274.3768729506,4429.6500745149
Germany,deu,30359.9521525666,34165.9340305131,34696.62091671,36447.8723183195,41814.8190965222,45699.1983232962,41732.707253158,41788.0447853084,46807.4163752215,44065.2489082767,46530.9114275776,47902.6528842516
Ghana,gha,375.8807044609,426.1592342406,501.7240745507,929.7266285841,1099.0223125796,1234.0799001109,1095.5032324553,1323.0991405686,1587.1908727476,1641.8259218244,1827.1013677999,1441.6364531117
Greece,grc,18477.578411927,21955.1040911595,22551.735744099,24801.1578065035,28827.3263555224,31997.2820108813,29710.9702950284,26919.3616367757,25914.6815458943,22242.681934771,21874.8195041667,21673.7810702225
Greenland,grl,24706.2919331832,28416.7776652046,28985.3908702269,31902.5047515616,36070.919815783,40863.2573152497,41097.5563587729,40193.6660251226,44010.3332192995,41471.6558845075,42827.8082665792,43364.8828499176
Grenada,grd,5773.2991511991,5836.1202118959,6754.3811745034,6764.7228669512,7322.5261714165,7946.6385006439,7394.9463183485,7365.6666592364,7410.761079915,7583.5464764321,7956.1418418286,8570.6633958146
Guam,gum,22556.9150250597,24381.4556809993,26496.0448482017,26592.3536726231,27631.8116363085,29189.5647779673,30141.0279849452,30701.2042147516,30635.7159730943,31933.5163721462,32485.2683789463,33221.3222874128
Guatemala,gtm,1743.1783936854,1860.990005016,2064.0475244177,2240.9970190299,2472.3886991479,2774.3691876939,2617.1289802599,2805.9739374909,3166.5770579767,3278.6263457313,3432.0174578806,3666.5798377297
Guinea,gin,371.320959305,387.3679616154,303.7609660517,296.1745762734,407.2065721533,433.0747552342,430.1999535437,430.0564738591,447.7909892855,487.3457142092,521.5389058682,539.6157749888
Guinea-Bissau,gnb,339.8607487385,370.9340772947,401.1472890458,395.9779938547,455.4358577701,553.4750996396,517.1669404154,517.8891757904,660.5867204018,580.6429368671,584.2820032495,615.9396825811
Guyana,guy,999.1816472294,1058.9585152401,1110.9577173502,1961.0556232239,2334.0210421643,2569.9885057943,2698.0589910646,2998.9412742409,3408.7319033961,3759.383547097,3928.8789497663,4028.1639914829
Haiti,hti,329.7819843955,387.942802371,465.3099364215,505.4694388094,615.815373042,674.749539514,668.2912904734,662.2793812478,740.9473632599,766.8721739431,810.3073258543,831.5905216716
Heavily indebted poor countries (HIPC),hpc,353.0303879978,394.4076816243,443.2097504125,514.7871166682,595.7147639037,697.9932897191,684.5720467483,736.7731151194,801.4957256778,840.2304909493,885.3869774753,911.8378585291
High income,hic,29122.7581582489,32197.6343146192,33808.896057144,35414.0243095107,38404.7439630825,40460.2632028231,37638.8665436172,39184.9895842635,42090.8447826018,41861.6395781027,42064.3499626934,42642.8006613968
Honduras,hnd,1228.4801119861,1298.9357621935,1405.7809270082,1547.2639480212,1720.7662630096,1899.5501337938,1962.0676054343,2096.2029486273,2307.7210016097,2378.5195687757,2340.6848656213,2434.280046303
"Hong Kong SAR, China",hkg,23977.0194516698,24928.1003722551,26649.750801707,28224.2150609389,30594.0178410231,31515.6627713018,30697.340383517,32549.998231121,35142.4879344543,36707.7742282554,38352.5349238738,40215.4896458262
Hungary,hun,8396.2530229412,10259.5260647721,11161.7244084585,11398.7658351748,13842.6054926173,15669.2592867275,12967.1654278758,13025.7947978134,14048.8795825413,12834.3234884048,13613.6014689502,14117.9766762093
IBRD only,ibd,1661.1666229552,1955.2828324248,2311.8474207088,2712.5115522306,3334.8736353244,3964.762872054,3806.2986479921,4579.1866764703,5362.8165715549,5609.621784768,5878.660897084,5987.4478971675
Iceland,isl,39044.0909865388,46917.2721613382,56249.7505492159,56103.5411545581,68348.3181700745,55575.2919607981,40461.8925056659,41676.4490936016,46000.0359445763,44333.8501759313,47810.233042455,52475.1277951085
IDA & IBRD total,ibt,1368.8467210623,1603.4250785057,1885.910315767,2207.8578135898,2693.9525154594,3194.8302822094,3062.6447009368,3684.9942401691,4290.2798090035,4481.984895149,4692.2934315686,4782.6210894771
IDA blend,idb,573.283342528,671.1986961181,773.8341053076,930.0541743719,1041.1658696303,1239.2821664644,1161.7048854693,1610.6896624623,1823.5954471784,1964.3610416681,2097.9592338812,2228.6927234941
IDA only,idx,379.8938415757,418.5495916574,466.2306194686,532.3466184068,619.0400824652,729.7646777738,732.8092163501,812.0619167616,887.4586673669,922.012458497,980.3768900284,1032.8934588169
IDA total,ida,449.5904768222,509.5414688584,576.8025342257,675.1152956003,769.984091436,911.6841711339,884.3948042303,1099.4274935797,1224.5109123063,1297.4306161909,1382.3934926876,1462.5835465774
India,ind,557.8973658865,640.6005221609,729.0007270401,816.7337761992,1018.1288378596,991.5153758311,1090.3606038481,1345.7213825728,1461.3774794379,1446.767108596,1451.5344660476,1569.9418281242
Indonesia,idn,1065.6565688228,1150.3492582179,1263.4814411969,1590.1779001867,1860.6226256934,2167.8576515474,2262.7207999464,3125.2199450583,3647.6266356734,3700.5235249547,3631.6726936035,3499.5887347652
"Iran, Islamic Rep.",irn,2240.8071214457,2649.9135856966,3135.1874076426,3646.8444072572,4705.3882202843,5476.1584219097,5437.8187902042,6299.9187379067,7874.4847920138,7710.5133138845,6631.2982704149,5442.8747707604
Iraq,irq,1391.6095824082,1391.6095824082,1848.968201055,2350.1942360588,3125.5803023922,4512.9851443381,3725.6754409244,4487.3662893751,5828.7647485099,6614.5848211573,6879.6977901321,6484.5293366572
Ireland,irl,41107.1564481921,47631.0646198435,50886.8272927009,54326.0980104952,61388.1738270495,61235.4006302281,51983.7881819968,48541.4776442369,52564.2554838933,49231.3616199885,52034.7682239848,55503.3272623334
Isle of Man,imn,28678.8452915927,34634.0519997066,36980.1130792844,41232.9206416727,69414.1220714181,70433.648186422,60419.2719355532,64275.0124401678,71312.1594693156,74999.2076151016,78119.0598732396,85258.0761591
Israel,isr,18946.999415629,19888.1719990387,20611.1793052385,21905.0176947466,25008.6037040998,29657.4420084852,27795.8767084275,30661.9900386465,33657.1572746314,32569.5968257028,36393.6693204984,37582.8462414114
Italy,ita,27387.2257970921,31174.5611761064,31959.2621538188,33410.7482014867,37698.7857302579,40640.1846549619,36976.8451179565,35851.5080738451,38332.3003680405,34814.1243593936,35370.274411922,35365.1041218615
Jamaica,jam,3547.1975650646,3810.3571497928,4184.0495196214,4423.4712657326,4741.5760335753,5033.7947045462,4410.576282726,4812.4814977308,5246.5767711468,5357.4439678169,5148.0174511283,4993.1937557186
Japan,jpn,34808.3909176613,37688.7223359406,37217.648727917,35433.988963743,35275.2284312667,39339.2975731826,40855.1756354596,44507.6637099867,48173.9344592983,48629.1996899952,40488.2432036925,38139.4223595003
Jordan,jor,2021.4607816084,2205.7958429451,2360.5302442881,2722.6660781647,2970.8890562697,3655.8581243726,3800.6759293118,4054.2706677568,4266.0770215543,4423.1173548337,4656.2198069161,4830.9769152594
Kazakhstan,kaz,2068.1236571983,2874.2882912765,3771.2789573385,5291.5756501865,6771.4147968189,8513.5646450681,7165.2770496965,9070.6499719999,11634.4242158163,12387.1898225308,13890.8560077898,12806.5651078094
Kenya,ken,444.233631051,467.3787524933,530.0821578503,711.7211636716,857.9256886542,938.5717623452,942.7431464664,991.8505451432,1012.8797726673,1184.9232560436,1261.0928630773,1368.491132158
Kiribati,kir,1015.0728614504,1130.5653461868,1214.5040480622,1151.5922693288,1357.6463078249,1413.3454118028,1297.3109402467,1493.2186957035,1692.5162439204,1763.6996963765,1724.2187599618,1684.3212921031
"Korea, Rep.",kor,14219.1935856009,15921.9391974413,18657.5212532106,20917.0302377023,23101.5102258935,20474.8868492383,18338.7063660256,22151.2088921324,24155.8298493082,24453.9719124644,25997.8810547699,27989.3539925863
Kosovo,xkx,1969.5627130741,2135.3328465238,2190.5520790386,2371.6620785632,2788.4794637241,3254.8606736952,3209.6941085705,3283.2119384317,3736.8409993833,3600.8870002769,3877.5405809798,4053.6289133305
Kuwait,kwt,22841.6024892137,27437.9824187671,35694.3817052274,42498.7402043786,45159.3414687272,54484.3005124528,36754.9458713815,37725.141206371,47551.3829674489,50903.9046037897,48463.1516704617,43332.4062504589
Kyrgyz Republic,kgz,380.5073624355,433.2351189352,476.552129969,543.1107024031,721.7686908389,966.3936271854,871.2243893379,880.0377751191,1123.8831680627,1177.9747348785,1282.4371620247,1279.7697826599
Lao PDR,lao,362.6677396128,418.1732543289,476.1624042311,591.3647724712,710.9803377681,900.499553549,947.9555257425,1138.5260816924,1297.5368738083,1445.4162009492,1700.5253051612,1754.8961955038
Late-demographic dividend,lte,2033.9179058162,2428.295894984,2910.4299901202,3490.2488677536,4369.6290874186,5400.9298535491,5188.1504310182,6189.7374981566,7498.4971564617,7954.6570265928,8524.0130101893,8803.348092519
Latin America & Caribbean,lcn,3713.2606969596,4230.6348773552,5054.8660520432,5851.1057242839,6815.2578474248,7827.9213675636,7269.6529948516,8909.2675314787,10009.9873089797,9985.0056842082,10121.5502498202,10012.792363016
